NAME,ORIGIN,RACE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
District of Columbia,1,0,526780,527687,526104,520922,519511,518552,522159,525422,529790,538607,549196
District of Columbia,1,1,160987,165183,166730,166690,170521,175873,182018,188913,194433,203261,210962
District of Columbia,1,2,342238,338012,334276,328449,322140,315732,310933,307194,303625,302619,303459
District of Columbia,1,3,1317,1325,1336,1306,1351,1353,1399,1471,1436,1646,1331
District of Columbia,1,4,15543,15889,16042,16269,16878,16620,18263,17842,19626,19659,21235
District of Columbia,1,5,289,300,293,301,288,266,265,256,253,245,234
District of Columbia,1,6,6406,6978,7427,7907,8333,8708,9281,9746,10417,11177,11975
District of Columbia,2,0,45266,46817,47054,47580,48243,48584,48522,48982,50446,53621,55257
District of Columbia,2,1,36154,37409,37321,37307,37030,36740,36070,36291,37303,39957,41169
District of Columbia,2,2,6976,6963,7031,7294,7849,8053,8217,8174,8213,8341,8364
District of Columbia,2,3,657,754,873,963,1099,1186,1333,1419,1583,1688,1940
District of Columbia,2,4,360,383,393,425,459,496,527,536,570,622,553
District of Columbia,2,5,125,188,215,255,279,321,387,406,452,530,552
District of Columbia,2,6,994,1120,1221,1336,1527,1788,1988,2156,2325,2483,2679
Florida,1,0,13330434,13495307,13675840,13843763,14084049,14317971,14453010,14495706,14518143,14528337,14590123
Florida,1,1,10526083,10600052,10685703,10761008,10893061,11014262,11046317,11017541,10972476,10925505,10928474
Florida,1,2,2333824,2395074,2456955,2516457,2586416,2658862,2724733,2767644,2809655,2844226,2878861
Florida,1,3,43397,44441,45498,46394,47502,48377,48760,48740,48578,47933,48190
Florida,1,4,274201,291194,310984,330761,354119,379797,402688,419809,434104,446089,459089
Florida,1,5,7539,7949,8362,8789,9352,9879,10263,10539,10716,10992,11190
Florida,1,6,145390,156597,168338,180354,193599,206794,220249,231433,242614,253592,264319
Florida,2,0,2717081,2861659,3013530,3160322,3331269,3524067,3713980,3872136,4009162,4124307,4253203
Florida,2,1,2558290,2688222,2825353,2957016,3109064,3275266,3439163,3576313,3694923,3795088,3910695
Florida,2,2,105623,113259,120977,129057,139840,156833,172066,183235,192727,199328,206075
Florida,2,3,16293,19301,22020,24502,26600,29086,32458,35284,37474,39629,41361
Florida,2,4,8335,9062,9775,10523,11633,13228,14609,15694,16628,17294,17757
Florida,2,5,3588,3833,4136,4447,5013,5816,6385,6953,7340,7580,7738
Florida,2,6,24952,27982,31269,34777,39119,43838,49299,54657,60070,65388,69577
Georgia,1,0,7785727,7892910,7984971,8062660,8166678,8278963,8456150,8598820,8709842,8790441,8852692
Georgia,1,1,5161651,5195757,5219133,5234969,5261067,5291045,5346493,5388079,5415515,5425952,5433271
Georgia,1,2,2355363,2407426,2455646,2498460,2554810,2614226,2708272,2784152,2843924,2893337,2930586
Georgia,1,3,18158,18675,19030,19274,19707,19987,20652,21005,21247,21526,21712
Georgia,1,4,178427,192108,205684,218378,231893,247512,265386,281081,295660,307768,318750
Georgia,1,5,3492,3693,3878,4004,4285,4383,4783,4924,5152,5411,5487
Georgia,1,6,68636,75251,81600,87575,94916,101810,110564,119579,128344,136447,142886
Georgia,2,0,441576,484128,523285,560133,602574,646959,699663,751168,795001,830405,859895
Georgia,2,1,395338,431221,463190,493119,527689,563775,606604,647608,679272,702606,723043
Georgia,2,2,29411,32146,35058,38046,41822,45796,50897,56272,62682,68981,73287
Georgia,2,3,6351,8067,9991,11760,13612,15491,17655,19783,22465,24886,27168
Georgia,2,4,2879,3258,3632,3914,4217,4614,5060,5555,6130,6609,6823
Georgia,2,5,1900,2163,2528,2771,2999,3249,3504,3877,4149,4554,5041
Georgia,2,6,5697,7273,8886,10523,12235,14034,15943,18073,20303,22769,24533
Hawaii,1,0,1125530,1134502,1144570,1153482,1172183,1188072,1201408,1204528,1216882,1227612,1242620
Hawaii,1,1,280521,284829,288799,290704,295876,302106,307414,304847,308150,308699,310188
Hawaii,1,2,20778,22761,23951,23217,22226,22623,22332,20960,20723,20470,20175
Hawaii,1,3,2471,2767,2894,2981,3033,3118,3184,3061,3034,2990,2965
Hawaii,1,4,500296,499243,499386,500688,505819,507674,509062,509326,510902,513164,518433
Hawaii,1,5,110210,111385,112972,115003,117798,120028,121859,123477,125424,127267,129586
Hawaii,1,6,211254,213517,216568,220889,227431,232523,237557,242857,248649,255022,261273
Hawaii,2,0,87989,91446,95043,97672,101386,104657,108323,111147,115331,119105,121001
Hawaii,2,1,31122,32868,34317,34967,35607,36534,37399,37036,37798,38417,38525
Hawaii,2,2,2160,2205,2284,2263,2285,2441,2435,2404,2457,2525,2479
Hawaii,2,3,1213,1362,1509,1598,1659,1726,1859,1896,1991,2148,2179
Hawaii,2,4,12663,13033,13422,13729,14233,14434,14778,15022,15432,15703,15779
Hawaii,2,5,6259,6707,7159,7481,7852,8209,8488,8940,9221,9266,9093
Hawaii,2,6,34572,35271,36352,37634,39750,41313,43364,45849,48432,51046,52946
Idaho,1,0,1196392,1210895,1225534,1242686,1264494,1292896,1323174,1349883,1370464,1383621,1394127
Idaho,1,1,1147078,1159297,1172004,1186779,1206173,1231398,1258723,1282193,1300432,1311213,1320319
Idaho,1,2,4992,5543,5976,6414,6918,7438,7965,8450,8794,9190,8974
Idaho,1,3,15995,16153,16281,16357,16524,16845,17026,17226,17446,17566,17654
Idaho,1,4,12051,12564,12998,13768,14516,15471,16394,17363,17897,18408,18806
Idaho,1,5,1245,1381,1456,1518,1595,1709,1778,1980,2053,2181,2192
Idaho,1,6,15031,15957,16819,17850,18768,20035,21288,22671,23842,25063,26182
Idaho,2,0,103038,109067,114838,120694,127308,135345,145495,155222,163856,170818,177323
Idaho,2,1,96951,102016,106794,111745,117329,123975,132704,140959,148283,153997,159038
Idaho,2,2,937,1039,1122,1163,1255,1394,1541,1725,1776,1914,2014
Idaho,2,3,2604,3010,3449,3918,4338,4965,5564,6256,6942,7530,8200
Idaho,2,4,500,560,636,688,739,855,919,1076,1140,1258,1328
Idaho,2,5,234,275,312,336,357,391,455,487,508,519,585
Idaho,2,6,1812,2167,2525,2844,3290,3765,4312,4719,5207,5600,6158
Illinois,1,0,10889996,10886912,10872256,10854083,10842501,10817754,10803728,10806239,10805690,10806223,10804111
Illinois,1,1,8463959,8437752,8402531,8366970,8336546,8295679,8261379,8241479,8220384,8199983,8176300
Illinois,1,2,1866478,1865851,1863590,1859004,1856036,1850776,1847829,1844713,1841980,1840178,1841965
Illinois,1,3,18665,18810,18789,18758,18980,19009,19037,19102,19111,19146,19204
Illinois,1,4,432829,450338,467515,483553,498762,514077,530708,548686,564266,579422,592382
Illinois,1,5,3288,3361,3358,3311,3324,3290,3287,3280,3268,3214,3197
Illinois,1,6,104777,110800,116473,122487,128853,134923,141488,148979,156681,164280,171063
Illinois,2,0,1544165,1601533,1653300,1701923,1747272,1792149,1840227,1889627,1941348,1990555,2039055
Illinois,2,1,1462815,1512578,1556711,1597047,1633599,1668800,1706551,1745328,1785387,1821682,1859502
Illinois,2,2,37593,39461,41215,43180,45460,48085,50949,53951,57321,61087,64541
Illinois,2,3,18648,21700,24726,28050,31325,34736,38461,42210,46317,51176,54969
Illinois,2,4,7430,7886,8423,8969,9646,10516,11332,12228,13146,14117,14966
Illinois,2,5,4079,4087,4081,4106,4134,4188,4154,4207,4246,4291,4290
Illinois,2,6,13600,15821,18144,20571,23108,25824,28780,31703,34931,38202,40787
Indiana,1,0,5874540,5893291,5906558,5930402,5949791,5975259,6008312,6035946,6063091,6081468,6098250
Indiana,1,1,5234732,5238356,5237203,5245261,5248633,5257145,5270708,5280772,5291029,5293126,5295744
Indiana,1,2,510177,517776,524204,531592,538913,546808,556549,564672,572904,579705,586388
Indiana,1,3,13892,13984,14074,14027,14101,14153,14297,14365,14423,14400,14308
Indiana,1,4,60584,64367,68483,73096,77565,82305,87136,91619,95523,100090,103438
Indiana,1,5,1610,1663,1680,1698,1766,1824,1856,1867,1903,2010,1955
Indiana,1,6,53545,57145,60914,64728,68813,73024,77766,82651,87309,92137,96417
Indiana,2,0,217326,234469,249409,266236,283216,303357,324357,343653,361715,377857,392371
Indiana,2,1,201038,215708,228355,242732,257189,274490,292284,308541,323375,335718,346918
Indiana,2,2,8134,8998,9625,10557,11459,12416,13633,14936,16117,17712,18954
Indiana,2,3,2958,3555,4222,4861,5525,6150,6917,7590,8415,9320,10267
Indiana,2,4,1150,1279,1428,1466,1583,1783,1959,2052,2211,2360,2637
Indiana,2,5,780,916,974,979,1033,1145,1275,1347,1461,1553,1591
Indiana,2,6,3266,4013,4805,5641,6427,7373,8289,9187,10136,11194,12004
Iowa,1,0,2845653,2841527,2837448,2838968,2843863,2848038,2858930,2868170,2878915,2886829,2897187
Iowa,1,1,2715406,2706934,2698273,2694369,2693383,2691670,2695523,2697483,2700698,2701206,2705090
Iowa,1,2,61831,63498,65199,67079,69343,71957,75183,78722,82389,85543,87886
Iowa,1,3,8050,8200,8284,8365,8507,8523,8594,8651,8692,8809,8642
Iowa,1,4,37538,38420,39689,41311,42954,44458,46043,47537,49118,51150,53427
Iowa,1,5,925,1015,1038,1206,1248,1326,1412,1550,1536,1672,1831
Iowa,1,6,21903,23460,24965,26638,28428,30104,32175,34227,36482,38449,40311
Iowa,2,0,83414,90470,96786,103031,109772,116416,123714,131042,137819,146041,152696
Iowa,2,1,77893,84039,89557,94947,100833,106570,112899,118973,124843,131745,137095
Iowa,2,2,1846,2043,2161,2359,2532,2745,2899,3189,3408,3732,4019
Iowa,2,3,1490,1773,2082,2352,2633,2898,3223,3725,4066,4477,4941
Iowa,2,4,488,556,603,629,687,719,813,870,884,1015,1040
Iowa,2,5,227,273,302,349,361,404,417,463,466,537,572
Iowa,2,6,1470,1786,2081,2395,2726,3080,3463,3822,4152,4535,5029
Kansas,1,0,2503048,2501442,2503035,2502650,2504249,2504648,2511304,2520130,2531332,2543151,2556860
Kansas,1,1,2240250,2234088,2229920,2224747,2221270,2217682,2218707,2221452,2224794,2229389,2235927
Kansas,1,2,152869,153226,153960,154009,154811,154617,156714,157996,160649,162018,164044
Kansas,1,3,22586,22693,22825,22931,23080,23172,23106,23077,23027,23282,23224
Kansas,1,4,47869,49932,52545,54857,56708,58487,59880,61862,63926,66152,68113
Kansas,1,5,1199,1330,1373,1454,1503,1644,1624,1679,1799,1853,2025
Kansas,1,6,38275,40173,42412,44652,46877,49046,51273,54064,57137,60457,63527
Kansas,2,0,190633,200720,210500,220354,230124,240651,251627,263655,276744,289553,302309
Kansas,2,1,177583,186180,194386,202749,211049,219616,228385,238277,248862,259222,269485
Kansas,2,2,4907,5266,5591,5815,6216,6687,7234,7950,8604,9230,9824
Kansas,2,3,3587,4033,4574,5035,5480,6103,6787,7355,8066,9033,9927
Kansas,2,4,964,1018,1059,1178,1172,1290,1419,1566,1703,1772,1907
Kansas,2,5,427,477,520,557,571,589,664,685,771,813,836
Kansas,2,6,3165,3746,4370,5020,5636,6366,7138,7822,8738,9483,10330
Kentucky,1,0,3988291,4000972,4016678,4037154,4058894,4087504,4117059,4145753,4171516,4190350,4212347
Kentucky,1,1,3618849,3623440,3631655,3645541,3657154,3676498,3697583,3715505,3732834,3741103,3754102
Kentucky,1,2,296320,300034,303114,305301,310101,314119,317559,322868,326135,331167,335784
Kentucky,1,3,8074,8257,8247,8240,8480,8536,8515,8607,8652,8734,8725
Kentucky,1,4,30325,32029,34006,35923,37997,40288,42183,43976,45805,47627,49277
Kentucky,1,5,1308,1402,1436,1474,1637,1724,1885,2036,1967,2211,2122
Kentucky,1,6,33415,35810,38220,40675,43525,46339,49334,52761,56123,59508,62337
Kentucky,2,0,60730,67160,73197,80016,87207,95238,102180,110919,118362,126724,133919
Kentucky,2,1,53917,59266,64398,70134,76337,82959,88687,95993,102265,109180,114889
Kentucky,2,2,3594,3991,4287,4617,5043,5614,6163,6754,7067,7767,8141
Kentucky,2,3,934,1131,1358,1496,1718,1927,2167,2481,2700,2952,3413
Kentucky,2,4,544,619,681,771,824,906,944,1039,1184,1161,1183
Kentucky,2,5,319,410,461,575,587,692,726,797,885,1002,1078
Kentucky,2,6,1422,1743,2012,2423,2698,3140,3493,3855,4261,4662,5215
Louisiana,1,0,4362888,4361665,4373212,4389774,4412500,4427827,4157225,4216730,4264720,4308192,4350063
Louisiana,1,1,2801616,2793000,2791749,2793947,2799804,2801152,2687730,2701997,2712973,2727718,2744393
Louisiana,1,2,1448727,1452442,1460509,1470009,1481621,1490931,1340260,1379458,1409869,1431901,1451721
Louisiana,1,3,24542,24988,25488,25909,26497,26911,25947,26672,27322,27888,28444
Louisiana,1,4,55803,56771,58736,60808,62925,64657,60280,62453,65051,68044,70487
Louisiana,1,5,1103,1198,1236,1289,1359,1417,1332,1469,1510,1573,1601
Louisiana,1,6,31097,33266,35494,37812,40294,42759,41676,44681,47995,51068,53417
Louisiana,2,0,108997,116210,124055,131268,139738,148801,145440,158851,170866,183456,194165
Louisiana,2,1,92480,98300,104864,110949,118152,125627,122454,133723,143611,154218,163147
Louisiana,2,2,11272,11776,12209,12580,12994,13573,12827,13939,14947,15807,16344
Louisiana,2,3,1682,1987,2246,2467,2688,3004,3188,3447,3909,4273,4716
Louisiana,2,4,777,880,984,1018,1182,1290,1242,1446,1501,1651,1790
Louisiana,2,5,336,426,475,526,604,642,707,767,804,888,998
Louisiana,2,6,2450,2841,3277,3728,4118,4665,5022,5529,6094,6619,7170
Maine,1,0,1267651,1275202,1284495,1293993,1300224,1304480,1308534,1311246,1314010,1312473,1310384
Maine,1,1,1233954,1239330,1246130,1252772,1256609,1258397,1260194,1260774,1261077,1257700,1254457
