REGION,DIVISION,STATE,NAME,RACE,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010
2,3,17,Illinois,5,7367,7448,7439,7417,7458,7478,7441,7487,7514,7505,7487
2,3,17,Illinois,6,118377,126621,134617,143058,151961,160747,170268,180682,191612,202482,211850
2,3,18,Indiana,0,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490621
2,3,18,Indiana,1,5435770,5454064,5465558,5487993,5505822,5531635,5562992,5589313,5614404,5628844,5642662
2,3,18,Indiana,2,518311,526774,533829,542149,550372,559224,570182,579608,589021,597417,605342
2,3,18,Indiana,3,16850,17539,18296,18888,19626,20303,21214,21955,22838,23720,24575
2,3,18,Indiana,4,61734,65646,69911,74562,79148,84088,89095,93671,97734,102450,106075
2,3,18,Indiana,5,2390,2579,2654,2677,2799,2969,3131,3214,3364,3563,3546
2,3,18,Indiana,6,56811,61158,65719,70369,75240,80397,86055,91838,97445,103331,108421
2,4,19,Iowa,0,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3049883
2,4,19,Iowa,1,2793299,2790973,2787830,2789316,2794216,2798240,2808422,2816456,2825541,2832951,2842185
2,4,19,Iowa,2,63677,65541,67360,69438,71875,74702,78082,81911,85797,89275,91905
2,4,19,Iowa,3,9540,9973,10366,10717,11140,11421,11817,12376,12758,13286,13583
2,4,19,Iowa,4,38026,38976,40292,41940,43641,45177,46856,48407,50002,52165,54467
2,4,19,Iowa,5,1152,1288,1340,1555,1609,1730,1829,2013,2002,2209,2403
2,4,19,Iowa,6,23373,25246,27046,29033,31154,33184,35638,38049,40634,42984,45340
2,4,20,Kansas,0,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2859169
2,4,20,Kansas,1,2417833,2420268,2424306,2427496,2432319,2437298,2447092,2459729,2473656,2488611,2505412
2,4,20,Kansas,2,157776,158492,159551,159824,161027,161304,163948,165946,169253,171248,173868
2,4,20,Kansas,3,26173,26726,27399,27966,28560,29275,29893,30432,31093,32315,33151
2,4,20,Kansas,4,48833,50950,53604,56035,57880,59777,61299,63428,65629,67924,70020
2,4,20,Kansas,5,1626,1807,1893,2011,2074,2233,2288,2364,2570,2666,2861
2,4,20,Kansas,6,41440,43919,46782,49672,52513,55412,58411,61886,65875,69940,73857
3,6,21,Kentucky,0,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4346266
3,6,21,Kentucky,1,3672766,3682706,3696053,3715675,3733491,3759457,3786270,3811498,3835099,3850283,3868991
3,6,21,Kentucky,2,299914,304025,307401,309918,315144,319733,323722,329622,333202,338934,343925
3,6,21,Kentucky,3,9008,9388,9605,9736,10198,10463,10682,11088,11352,11686,12138
3,6,21,Kentucky,4,30869,32648,34687,36694,38821,41194,43127,45015,46989,48788,50460
3,6,21,Kentucky,5,1627,1812,1897,2049,2224,2416,2611,2833,2852,3213,3200
3,6,21,Kentucky,6,34837,37553,40232,43098,46223,49479,52827,56616,60384,64170,67552
3,7,22,Louisiana,0,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544228
3,7,22,Louisiana,1,2894096,2891300,2896613,2904896,2917956,2926779,2810184,2835720,2856584,2881936,2907540
3,7,22,Louisiana,2,1459999,1464218,1472718,1482589,1494615,1504504,1353087,1393397,1424816,1447708,1468065
3,7,22,Louisiana,3,26224,26975,27734,28376,29185,29915,29135,30119,31231,32161,33160
3,7,22,Louisiana,4,56580,57651,59720,61826,64107,65947,61522,63899,66552,69695,72277
3,7,22,Louisiana,5,1439,1624,1711,1815,1963,2059,2039,2236,2314,2461,2599
3,7,22,Louisiana,6,33547,36107,38771,41540,44412,47424,46698,50210,54089,57687,60587
1,1,23,Maine,0,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327567
1,1,23,Maine,1,1242070,1248311,1255910,1263512,1268201,1270616,1273045,1274201,1275053,1272014,1268725
1,1,23,Maine,2,7231,8189,9168,10453,11451,12557,13541,14465,15407,16150,16239
1,1,23,Maine,3,7226,7437,7611,7801,7878,8065,8213,8371,8585,8766,8736
