,YEAR,STATE,AGE,STD,Population,"STD Rate per 100,000 People","STD Rate per 100,000 People (Adjusted)"
316,2012,Arkansas,15-19,7277.0,794184.0,916.286402143584,483.37022398861683
317,2012,Arkansas,under 19,7578.0,794184.0,954.1869390468707,521.2707608919036
318,2012,California,0-14,1199.0,10413563.0,11.513830568845648,-421.40234758612155
319,2012,California,15-19,44774.0,10413563.0,429.9585069970768,-2.9576711578903883
320,2012,California,under 19,45973.0,10413563.0,441.4723375659225,8.556159410955274
321,2012,Colorado,0-14,192.0,1360853.0,14.108797937764034,-418.80738021720316
322,2012,Colorado,15-19,6711.0,1360853.0,493.1465779184086,60.23039976344137
323,2012,Colorado,under 19,6903.0,1360853.0,507.2553758561725,74.33919770120531
324,2012,Connecticut,0-14,167.0,915254.0,18.246301026818784,-414.6698771281484
325,2012,Connecticut,15-19,4219.0,915254.0,460.9649343242423,28.048756169275066
326,2012,Connecticut,under 19,4386.0,915254.0,479.211235351061,46.29505719609381
327,2012,Delaware,0-14,52.0,233054.0,22.31242544646305,-410.60375270850415
328,2012,Delaware,15-19,1480.0,233054.0,635.0459550147176,202.1297768597504
329,2012,Delaware,under 19,1532.0,233054.0,657.3583804611807,224.44220230621346
330,2012,District of Columbia,0-14,184.0,128942.0,142.69981852305688,-290.21635963191034
331,2012,District of Columbia,15-19,3076.0,128942.0,2385.568705309364,1952.6525271543967
332,2012,District of Columbia,under 19,3260.0,128942.0,2528.2685238324207,2095.3523456774533
333,2012,Florida,0-14,833.0,4503397.0,18.497147819745848,-414.41903033522135
334,2012,Florida,15-19,27061.0,4503397.0,600.9019413567137,167.98576320174647
335,2012,Florida,under 19,27894.0,4503397.0,619.3990891764595,186.48291102149227
336,2012,Georgia,0-14,880.0,2782051.0,31.63133961239388,-401.2848385425733
337,2012,Georgia,15-19,21002.0,2782051.0,754.9106756130639,321.99449745809665
338,2012,Georgia,under 19,21882.0,2782051.0,786.5420152254578,353.6258370704906
339,2012,Hawaii,0-14,52.0,336917.0,15.434068331369446,-417.48210982359774
340,2012,Hawaii,15-19,1521.0,336917.0,451.4464986925563,18.53032053758909
341,2012,Hawaii,under 19,1573.0,336917.0,466.8805670239258,33.964388868958565
342,2012,Idaho,0-14,25.0,471490.0,5.302339392139812,-427.6138387628274
343,2012,Idaho,15-19,1380.0,471490.0,292.68913444611763,-140.22704370884958
344,2012,Idaho,under 19,1405.0,471490.0,297.99147383825743,-134.92470431670978
345,2012,Illinois,0-14,1099.0,3482073.0,31.561658816457896,-401.3545193385093
346,2012,Illinois,15-19,28919.0,3482073.0,830.5110203031355,397.5948421481683
347,2012,Illinois,under 19,30018.0,3482073.0,862.0726791195934,429.1565009646262
348,2012,Indiana,0-14,387.0,1799200.0,21.50955980435749,-411.40661835060973
349,2012,Indiana,15-19,11642.0,1799200.0,647.0653623832815,214.14918422831425
350,2012,Indiana,under 19,12029.0,1799200.0,668.5749221876389,235.65874403267168
351,2012,Iowa,0-14,123.0,818315.0,15.030886639008203,-417.885291515959
352,2012,Iowa,15-19,3970.0,818315.0,485.1432516818096,52.22707352684239
353,2012,Iowa,under 19,4093.0,818315.0,500.17413832081775,67.25796016585053
354,2012,Kansas,0-14,96.0,806659.0,11.900939554384196,-421.015238600583
355,2012,Kansas,15-19,3969.0,806659.0,492.02946970157154,59.11329154660433
356,2012,Kansas,under 19,4065.0,806659.0,503.9304092559558,71.01423110098858
357,2012,Kentucky,0-14,256.0,1142710.0,22.402884371362813,-410.5132937836044
358,2012,Kentucky,15-19,6654.0,1142710.0,582.2999711212818,149.38379296631462
359,2012,Kentucky,under 19,6910.0,1142710.0,604.7028554926447,171.78667733767753
360,2012,Louisiana,0-14,547.0,1247436.0,43.84994500719877,-389.06623314776846
361,2012,Louisiana,15-19,12359.0,1247436.0,990.7522309761785,557.8360528212113
362,2012,Louisiana,under 19,12906.0,1247436.0,1034.602175983377,601.6859978284099
363,2012,Maine,0-14,27.0,310633.0,8.69192906098193,-424.2242490939853
364,2012,Maine,15-19,1051.0,310633.0,338.3413867811855,-94.5747913737817
365,2012,Maine,under 19,1078.0,310633.0,347.03331584216744,-85.88286231279977
366,2012,Maryland,0-14,510.0,1514914.0,33.665277368880346,-399.25090078608685
367,2012,Maryland,15-19,10272.0,1514914.0,678.0582924179195,245.14211426295225
368,2012,Maryland,under 19,10782.0,1514914.0,711.7235697867998,278.80739163183256
369,2012,Massachusetts,0-14,128.0,1624254.0,7.880540851369305,-425.0356373035979
370,2012,Massachusetts,15-19,6126.0,1624254.0,377.1577598085029,-55.75841834646434
371,2012,Massachusetts,under 19,6254.0,1624254.0,385.03830065987216,-47.87787749509505
372,2012,Michigan,0-14,839.0,2639857.0,31.782024556633186,-401.134153598334
373,2012,Michigan,15-19,20425.0,2639857.0,773.7161520491451,340.79997389417787
374,2012,Michigan,under 19,21264.0,2639857.0,805.4981766057782,372.581998450811
375,2012,Minnesota,0-14,234.0,1430109.0,16.362389160546503,-416.5537889944207
376,2012,Minnesota,15-19,6155.0,1430109.0,430.3867747143749,-2.5294034405923185
377,2012,Minnesota,under 19,6389.0,1430109.0,446.7491638749215,13.832985719954308
378,2012,Mississippi,0-14,448.0,846739.0,52.90886565990228,-380.0073124950649
379,2012,Mississippi,15-19,10388.0,846739.0,1226.8243224889843,793.9081443340172
380,2012,Mississippi,under 19,10836.0,846739.0,1279.7331881488865,846.8170099939193
381,2012,Missouri,0-14,423.0,1592773.0,26.557456712287312,-406.3587214426799
382,2012,Missouri,15-19,11340.0,1592773.0,711.9658607974897,279.04968264252244
383,2012,Missouri,under 19,11763.0,1592773.0,738.5233175097769,305.6071393548097
384,2012,Montana,0-14,46.0,250965.0,18.329249098479867,-414.58692905648735
385,2012,Montana,15-19,1176.0,250965.0,468.59123782200703,35.67505966703982
386,2012,Montana,under 19,1222.0,250965.0,486.9204869204869,54.00430876551968
387,2012,Nebraska,0-14,79.0,512037.0,15.42857254456221,-417.487605610405
388,2012,Nebraska,15-19,2204.0,512037.0,430.4376441546216,-2.4785340003456326
389,2012,Nebraska,under 19,2283.0,512037.0,445.86621669918384,12.950038544216625
390,2012,Nevada,0-14,136.0,732142.0,18.575631503178347,-414.3405466517889
391,2012,Nevada,15-19,3680.0,732142.0,502.6347347918846,69.71855663691741
392,2012,Nevada,under 19,3816.0,732142.0,521.2103662950631,88.29418814009586
393,2012,New Hampshire,0-14,9.0,325792.0,2.762498772222768,-430.15367938274443
394,2012,New Hampshire,15-19,940.0,325792.0,288.5276495432669,-144.38852861170034
395,2012,New Hampshire,under 19,949.0,325792.0,291.29014831548966,-141.62602983947755
396,2012,New Jersey,0-14,222.0,2283612.0,9.721441295631656,-423.19473685933553
397,2012,New Jersey,15-19,7811.0,2283612.0,342.0458466674724,-90.87033148749481
398,2012,New Jersey,under 19,8033.0,2283612.0,351.7672879631041,-81.14889019186313
399,2012,New Mexico,0-14,123.0,576636.0,21.33061411358292,-411.5855640413843
400,2012,New Mexico,15-19,3652.0,576636.0,633.3284775837791,200.41229942881188
401,2012,New Mexico,under 19,3775.0,576636.0,654.6590916973619,221.74291354239466
402,2012,New York,0-14,1612.0,4886122.0,32.9913989048984,-399.9247792500688
403,2012,New York,15-19,35351.0,4886122.0,723.4981034038856,290.58192524891837
404,2012,New York,under 19,36963.0,4886122.0,756.4895023087839,323.5733241538167
405,2012,North Carolina,0-14,604.0,2553980.0,23.649362955074043,-409.2668151998932
406,2012,North Carolina,15-19,19761.0,2553980.0,773.7335452900962,340.817367135129
407,2012,North Carolina,under 19,20365.0,2553980.0,797.3829082451704,364.46673009020316
408,2012,North Dakota,0-14,26.0,172636.0,15.060589911721772,-417.85558824324545
409,2012,North Dakota,15-19,865.0,172636.0,501.0542412938205,68.13806313885328
410,2012,North Dakota,under 19,891.0,172636.0,516.1148312055423,83.19865305057505
411,2012,Ohio,0-14,959.0,3051259.0,31.429649203820453,-401.48652895114674
